name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Rwanda,2023-01-19,82.4,62.6,71.8,81.4,62.6,71.8,58.4,65.6,0,0,0,,0,0,19.7,11.1,104.2,1018.9,56,6.2,253.4,22,9,30,2023-01-19T06:04:02,2023-01-19T18:17:00,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-20,82.8,64.1,73.5,82,64.1,73.5,57.6,59.6,0,0,0,,0,0,18.3,17.2,21.6,1017.7,54.2,6.6,243.7,21,8,10,2023-01-20T06:04:22,2023-01-20T18:17:16,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-01-21,86,64.4,72.2,83.2,64.4,71.9,57.3,63.1,0,0,0,,0,0,28.9,18.3,359.9,1017,51.5,6.6,229.8,20,8,10,2023-01-21T06:04:42,2023-01-21T18:17:31,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-22,75.2,60.8,67,75.2,60.8,67,58.2,75,0,0,0,,0,0,19.9,17.2,69.1,1018.5,69.7,6.1,187.6,16.4,6,10,2023-01-22T06:05:01,2023-01-22T18:17:46,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-23,82.4,60.4,70.7,81.7,60.4,70.5,56.1,63.2,0,0,0,,0,0,15,10.3,39.4,1017.8,57,6.6,246.5,21.4,8,10,2023-01-23T06:05:19,2023-01-23T18:17:59,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-01-24,71.4,60.8,65.9,71.4,60.8,65.9,59.6,81,3.543,100,8.33,rain,0,0,19,18.3,198.1,1018.9,65.4,5.7,238.7,20.8,9,10,2023-01-24T06:05:37,2023-01-24T18:18:12,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"HRYR,64387099999"
Rwanda,2023-01-25,80.3,59,67.9,81.5,59,68,60.1,78.7,0,0,0,rain,0,0,18.8,11.4,111.4,1017.8,58.2,5.2,259.9,22.3,10,30,2023-01-25T06:05:54,2023-01-25T18:18:23,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-26,80.6,60.8,70.5,81.1,60.8,70.5,59.7,71,0,0,0,,0,0,19.7,13.9,71.5,1016.8,50.5,6,247.9,21.5,7,10,2023-01-26T06:06:10,2023-01-26T18:18:34,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-27,78.8,62.1,69.9,78.8,62.1,69.9,59.7,71.7,0,0,0,rain,0,0,17,8.5,354.2,1017.4,55.9,6.1,246.9,21.5,7,10,2023-01-27T06:06:25,2023-01-27T18:18:44,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-28,84.5,60.6,72.9,82.8,60.6,72.6,56.8,60.8,0,0,0,,0,0,15.2,10.3,129.2,1016.8,45.8,6.2,312.7,26.7,10,30,2023-01-28T06:06:40,2023-01-28T18:18:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-29,78.8,62.6,67.6,78.8,62.6,67.6,58.9,74.8,0,0,0,,0,0,16.3,18.3,223,1017.7,58.7,6.2,217.9,18.7,9,10,2023-01-29T06:06:54,2023-01-29T18:19:02,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-01-30,80.6,60.8,68.6,80.8,60.8,68.6,60,76.8,0.016,100,4.17,rain,0,0,15.7,11.4,222.7,1018.7,63,6.2,242,20.9,8,10,2023-01-30T06:07:07,2023-01-30T18:19:09,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999"
Rwanda,2023-01-31,78.8,60.8,67.9,78.8,60.8,67.9,60.3,78.8,0,0,0,,0,0,14.5,10.1,175.7,1018.9,58.8,6.2,245.3,21.1,8,10,2023-01-31T06:07:19,2023-01-31T18:19:16,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-01,80.6,59,69.6,81.4,59,69.6,58.9,71.6,0,0,0,rain,0,0,13.2,9.2,154.8,1019.8,53.9,5.9,257.6,22.1,8,10,2023-02-01T06:07:31,2023-02-01T18:19:22,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-02,75.2,60.8,65.1,75.2,60.8,65.1,60.6,86.5,0.055,100,8.33,rain,0,0,15.9,14.1,233.2,1020.5,63.4,5.9,238,20.5,8,30,2023-02-02T06:07:41,2023-02-02T18:19:27,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"HRYR,64387099999"
Rwanda,2023-02-03,73.4,57.1,63.8,73.4,57.1,63.8,58.3,83.8,0,0,0,rain,0,0,16.1,9.2,283.6,1020.7,62.2,5.7,266.1,22.9,9,10,2023-02-03T06:07:51,2023-02-03T18:19:31,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-02-04,78.8,57.2,68.7,78.8,57.2,68.7,58.7,72.8,0,0,0,,0,0,15.7,11.4,190,1019.2,59.7,5.9,249.7,21.4,8,10,2023-02-04T06:08:00,2023-02-04T18:19:34,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-05,78.8,60.8,69.8,78.8,60.8,69.8,58.9,69.4,0,0,0,,0,0,15.7,14.1,176.4,1018.5,56.4,6.2,270.8,23.3,9,10,2023-02-05T06:08:09,2023-02-05T18:19:36,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-06,80.1,60.8,69.4,80.2,60.8,69.4,57.5,68.3,0,0,0,,0,0,15.2,11.4,28.4,1018.3,71.2,5.9,271.3,23.3,9,10,2023-02-06T06:08:16,2023-02-06T18:19:38,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-07,80.6,62.6,70.8,81.1,62.6,70.9,59.1,68.8,0,0,0,rain,0,0,14.1,9.2,126.9,1017.9,68.2,6.1,265.3,22.9,9,10,2023-02-07T06:08:23,2023-02-07T18:19:38,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-08,78.8,62.6,69,78.8,62.6,69,59.3,72.7,0,0,0,rain,0,0,13.6,12.8,187,1018.7,66.4,6.1,241.5,20.8,8,10,2023-02-08T06:08:29,2023-02-08T18:19:38,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-09,71.8,62.5,66.8,71.8,62.5,66.8,58.6,75.4,0.008,100,4.17,rain,0,0,14.3,15,356.5,1019.9,70.8,6.1,259.3,22.4,9,10,2023-02-09T06:08:35,2023-02-09T18:19:37,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999"
Rwanda,2023-02-10,84.2,60.8,71,82.5,60.8,70.9,57,64.1,0,0,0,rain,0,0,18.3,12.7,47.2,1019.7,55.1,6.2,266.2,22.9,10,10,2023-02-10T06:08:39,2023-02-10T18:19:35,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-11,84.2,62.6,73.3,82.7,62.6,73.2,57.8,60.9,0,0,0,,0,0,15.7,13.9,51,1019,52.7,6.1,268.2,23.1,9,10,2023-02-11T06:08:43,2023-02-11T18:19:33,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-12,82.4,62.6,72.4,82.5,62.6,72.4,58.3,62.6,0,0,0,,0,0,19.9,11.4,66.9,1018.4,51.3,6.2,236.4,20.3,8,10,2023-02-12T06:08:46,2023-02-12T18:19:29,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-13,86,64.4,75,83.4,64.4,74.5,56.9,57.1,0,0,0,,0,0,17.2,15,64.8,1018,53,6.6,275.6,24,10,10,2023-02-13T06:08:48,2023-02-13T18:19:25,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-02-14,87.8,64.4,75.7,85.4,64.4,75.3,54.6,51,0,0,0,,0,0,17,6.9,55,1016.9,56.2,6.6,291.6,25.1,10,10,2023-02-14T06:08:49,2023-02-14T18:19:20,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-02-15,84.3,64.4,75.5,83.6,64.4,75.2,54.5,49.4,0,0,0,,0,0,15,14.9,11.8,1015.3,51.7,6.2,275.6,23.8,9,10,2023-02-15T06:08:50,2023-02-15T18:19:14,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-16,84.2,62,73.3,82,62,73.1,56,58.6,0,0,0,,0,0,21.3,16.1,14.6,1016,68.5,6.9,252.9,21.9,9,10,2023-02-16T06:08:50,2023-02-16T18:19:08,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-02-17,83,64.4,73.3,82.1,64.4,73.1,55.1,54.7,0,0,0,,0,0,20.8,10.3,37.3,1016.4,60,6.4,223.1,19.3,7,10,2023-02-17T06:08:50,2023-02-17T18:19:00,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-02-18,84.2,66.2,74.5,82.9,66.2,74.4,56.3,54.8,0,0,0,,0,0,15.7,16.1,34.3,1017.1,59.6,6.1,204.2,17.6,9,10,2023-02-18T06:08:48,2023-02-18T18:18:52,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-19,84.5,62.6,74.3,82.3,62.6,74,53.5,50.8,0,0,0,,0,0,16.8,13.9,26.6,1017,57.8,6.8,248.4,21.4,9,10,2023-02-19T06:08:46,2023-02-19T18:18:44,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-20,86,64.4,75.3,84.2,64.4,74.9,54.2,49.3,0,0,0,,0,0,14.3,12.8,175.3,1017.9,47.5,6.2,249.2,21.6,9,10,2023-02-20T06:08:43,2023-02-20T18:18:34,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-21,82.4,64.4,70.5,82.5,64.4,70.5,59.4,70,0.079,100,4.17,rain,0,0,17.2,10.9,323.1,1018.3,68.5,6,240.8,20.7,8,10,2023-02-21T06:08:40,2023-02-21T18:18:24,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999"
Rwanda,2023-02-22,78.8,62.6,69.4,78.8,62.6,69.4,61.3,77.5,0,0,0,rain,0,0,16.8,9.2,194.7,1018.4,66.8,6.2,234.2,20.4,8,30,2023-02-22T06:08:36,2023-02-22T18:18:14,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-02-23,77,64.2,68.2,77,64.2,68.2,60.2,76.2,0,0,0,rain,0,0,19.7,12.8,157.8,1018.4,80.8,5.9,189,16.5,8,10,2023-02-23T06:08:31,2023-02-23T18:18:02,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-24,82.4,60.8,71,82.1,60.8,71,60.1,71.8,0,0,0,,0,0,13.9,14.1,170.6,1019.1,62.9,6,260.8,22.6,9,10,2023-02-24T06:08:26,2023-02-24T18:17:50,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-25,78.8,62.6,68.1,78.8,62.6,68.1,60.9,79.8,0,0,0,rain,0,0,16.6,12.8,273,1018.9,83.2,6.6,215.5,18.5,8,10,2023-02-25T06:08:20,2023-02-25T18:17:38,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-02-26,78.8,62.6,68.4,78.8,62.6,68.4,61.8,81.7,0,0,0,rain,0,0,15,11.4,99.6,1019.6,84,5.6,198.8,17.1,9,10,2023-02-26T06:08:14,2023-02-26T18:17:25,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-02-27,80.6,62.9,69.4,81.1,62.9,69.4,62,79.8,0.236,100,4.17,rain,0,0,18.3,11.4,270.8,1019.8,72,6.3,212.8,18.3,7,30,2023-02-27T06:08:07,2023-02-27T18:17:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HRYR,64387099999,remote"
Rwanda,2023-02-28,73.4,62.6,65.7,73.4,62.6,65.7,61.8,88,0.748,100,12.5,rain,0,0,15.9,10.3,150.3,1022,89.5,6.2,176.4,15.4,8,30,2023-02-28T06:08:00,2023-02-28T18:16:57,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-01,78.8,60.8,68.3,78.8,60.8,68.3,61.2,80.4,0.043,100,4.17,rain,0,0,14.1,6.9,89.2,1020.8,71.6,4.6,157.9,13.8,6,30,2023-03-01T06:07:52,2023-03-01T18:16:42,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999,remote"
Rwanda,2023-03-02,78.8,62.7,68.5,78.8,62.7,68.5,60.6,77,0.472,100,4.17,rain,0,0,11.6,12.8,73.4,1020.8,72.1,6.1,204.5,17.6,9,30,2023-03-02T06:07:43,2023-03-02T18:16:27,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999"
Rwanda,2023-03-03,78.8,62.5,69.4,78.8,62.5,69.4,60.8,76.6,0.008,100,4.17,rain,0,0,19,77.2,28.6,1020.5,74.4,6.2,208.6,17.9,9,30,2023-03-03T06:07:34,2023-03-03T18:16:11,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HRYR,64387099999,remote"
Rwanda,2023-03-04,82.4,64.4,72.9,81.7,64.4,72.9,58.7,63.6,0,0,0,,0,0,15,12.8,50.9,1020.3,56,6.6,266,23,10,10,2023-03-04T06:07:24,2023-03-04T18:15:55,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999,remote"
Rwanda,2023-03-05,84.2,62.6,74,83.5,62.6,73.9,58.6,60.8,0,0,0,rain,0,0,16.3,8.3,64.7,1019.8,42.4,6.2,262.3,22.6,9,30,2023-03-05T06:07:15,2023-03-05T18:15:38,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
Rwanda,2023-03-06,85,64.4,75.5,85.1,64.4,75.4,58.9,57.9,0,0,0,,0,0,21,15,139.5,1017.6,50.4,6.2,276.8,23.8,9,30,2023-03-06T06:07:04,2023-03-06T18:15:21,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HRYR,64387099999"
