Year,Rainfall (mm/day),Temperature (°C),Rainfall (mm/year)
2010,3.86,19.66,1408.8999999999999
2011,3.96,19.47,1445.4
2012,3.82,19.49,1394.3
2013,2.97,19.76,1084.0500000000002
2014,3.66,19.86,1335.9
2015,2.94,20.29,1073.1
2016,2.54,20.34,927.1
2017,2.58,20.71,941.7
2018,3.68,19.13,1343.2
2019,3.7,19.89,1350.5
2020,5.03,19.2,1835.95
2021,4.19,19.13,1529.3500000000001
2022,4.55,18.96,1660.75
2023,2.72,20.17,992.8000000000001
2024,3.6,20.63,1314.0
2025,-999.0,-999.0,-364635.0
